yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,NFLX,GRUB,AMZN,CPB,ZM,MSFT,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM
2019-12-12,119.7600,152.2600,141.3400,124.5700,139.5700,469.6000,61.1700,30.8500,28.6900,46.6000,19.9800,28.2000,298.4400,42.5800,1760.3300,47.7100,62.4900,153.2400,297.3400,77.7700,12.3700,28132.0508,88.2100,196.3100,56.6900,88.4700,72.5400,6.0200,46.9000,106.5200,145.1000,113.5000,74.2600,284.4200
2019-12-11,119.0000,152.1300,140.9800,124.6600,145.7000,465.8700,61.0800,32.0300,28.4200,47.3600,19.7300,28.0200,298.9300,40.2100,1748.7200,47.9800,63.5200,151.7000,295.3000,78.7700,12.3000,27911.3008,86.5900,194.7200,55.0800,87.0200,74.1900,6.0700,45.7900,105.7000,142.7500,111.9600,73.3500,280.6000
2019-12-10,119.1400,152.4300,139.9900,124.2700,147.0900,461.7100,61.2300,32.7800,27.8900,45.2600,20.0400,27.8700,293.1200,39.0400,1739.2100,48.3900,64.5700,151.1300,295.7800,78.1500,12.3900,27881.7207,86.0400,194.9500,55.5300,86.5100,73.9900,5.9900,45.3200,104.7000,140.5700,111.8500,73.1800,283.8500
2019-12-09,119.3600,152.7500,140.5000,124.8700,145.5400,468.6600,61.0100,34.7700,27.6800,45.4200,20.3700,27.8400,302.5000,39.5700,1749.5100,48.2400,65.9400,151.3600,295.1600,78.9000,12.3300,27909.5996,86.2800,194.6800,55.8000,87.6100,74.1000,5.8700,45.4100,104.7500,141.3500,108.8000,74.9900,282.3300
2019-12-06,119.7800,151.8600,140.3800,124.1900,144.2600,467.8500,61.1900,32.6300,27.8600,45.2000,20.1200,27.4900,307.3500,41.0100,1751.6000,47.7500,62.7400,151.7500,294.9450,79.3600,12.3200,28015.0605,86.3200,195.3500,56.1400,88.5800,74.4800,5.9600,44.7700,105.4700,142.2900,107.5800,75.3600,285.2700
2019-12-05,118.6600,150.7900,139.5600,124.6200,148.3400,467.2700,60.8200,31.3100,28.6500,45.0650,19.8800,26.8000,302.8600,40.1500,1740.4800,47.6300,69.6700,149.9300,293.1000,78.6300,12.1900,27677.7891,84.4500,194.2100,55.8800,87.8600,75.5200,6.1200,44.2000,104.9100,140.3000,105.6800,74.4800,286.3000
2019-12-04,118.6900,150.3000,139.3800,124.5300,150.5800,462.0500,60.5300,32.9600,29.0600,47.3150,20.1000,27.6400,304.3200,42.5300,1760.6900,48.4700,69.9600,149.8500,296.5200,79.4000,12.1900,27649.7793,85.4000,194.3100,56.0600,88.1700,72.9500,6.0800,43.8800,104.1800,139.2600,105.5600,75.0000,287.3800
2019-12-03,118.6700,147.9500,137.1600,122.9500,144.6300,469.8600,60.1400,33.4800,29.0200,47.5100,20.2200,27.3900,306.1600,42.9100,1769.9600,47.5800,70.0200,149.3100,295.6700,78.9200,11.7600,27502.8105,84.8200,193.1200,55.6200,88.8700,73.6300,6.1100,43.5400,103.9500,138.5600,99.3900,74.7100,286.1900
2019-12-02,119.2800,148.9300,137.3600,122.7200,136.0700,470.3300,59.9600,36.8400,28.9800,47.3900,20.1400,27.7400,309.9900,42.2600,1781.6000,47.1400,68.9300,149.5500,297.3900,79.2800,11.6700,27783.0391,84.5700,195.1800,56.7500,91.6300,73.8700,6.0900,44.4900,104.7500,140.4300,100.7500,75.5500,287.4300
2019-11-29,119.0900,148.2300,137.4900,122.0600,160.3700,470.0100,60.2400,35.2300,29.6000,48.9800,19.8000,27.3400,314.6600,43.1200,1800.8000,46.5700,74.5000,151.3800,299.8100,79.3500,11.6200,28051.4102,85.4300,194.4800,57.3100,92.8000,73.9200,5.8500,45.0800,105.0000,140.3600,101.6600,75.2700,288.6600
